"Date","Most.Likely.Latitude","Most.Likely.Longitude","Satellite.SST","Observed.SST","Observed.Depth","Bathymetry.Depth","chlo_date","matched_lat","matched_lon","matched_chl.m"
2022-05-31,5.875,197.875,NA,NA,NA,NA,"2022-06-01T00:00:00Z",5.85416666666667,197.895833333333,0.47296342
2022-06-01,5.885,198,28.3245831330617,28.2,85.6666666666667,2908,"2022-06-01T00:00:00Z",5.89583333333334,198.020833333333,0.21604721
2022-06-02,5.925,197.95,28.3054160277049,28.3,64.6666666666667,3778,"2022-06-01T00:00:00Z",5.9375,197.9375,0.24573766
2022-06-03,5.925,197.855,28.3108328183492,28.1,53.6666666666667,3778,"2022-06-01T00:00:00Z",5.9375,197.854166666667,0.23427862
2022-06-04,5.98125,197.8125,28.3199996948242,28.2,43,3778,"2022-06-01T00:00:00Z",5.97916666666667,197.8125,0.24543247
2022-06-05,6.11,197.74,28.3599987030029,28.1,43,4150,"2022-06-01T00:00:00Z",6.10416666666667,197.729166666667,0.2434994
2022-06-06,6.275,197.66,28.3333322207133,28.2,32.3333333333333,4026,"2022-06-01T00:00:00Z",6.27083333333334,197.645833333333,0.24955927
2022-06-07,6.45,197.465,28.321248849233,28.3,75,3778,"2022-06-01T00:00:00Z",6.4375,197.479166666667,0.21236414
2022-06-08,6.51,197.345,28.2125000158946,28.3,53.6666666666667,4261.33333333333,"2022-06-01T00:00:00Z",6.52083333333334,197.354166666667,0.2409797
2022-06-09,6.775,197.47,28.2074995040894,28.4,53.6666666666667,4413.33333333333,"2022-06-01T00:00:00Z",6.77083333333334,197.479166666667,0.22551765
2022-06-10,7.075,197.61875,28.2612495422363,28.3,40.5,3977,"2022-06-01T00:00:00Z",7.0625,197.604166666667,0.19196366
2022-06-11,7.27083333333333,197.583333333333,28.2141658465068,28.3,92.25,4373,"2022-06-01T00:00:00Z",7.27083333333334,197.5625,0.16513628
2022-06-12,7.365,197.555,28.199165503184,28.1,64.3333333333333,4373,"2022-06-01T00:00:00Z",7.35416666666667,197.5625,0.17308453
2022-06-13,7.41,197.585,28.1837496757507,28.1,64,4373,"2022-06-01T00:00:00Z",7.39583333333334,197.604166666667,0.16164616
2022-06-14,7.28,197.375,28.152498960495,28.3,75,4547.33333333333,"2022-06-01T00:00:00Z",7.27083333333334,197.395833333333,0.16124025
2022-06-15,7.285,197.565,28.1241656939189,28.2,85.3333333333333,4373,"2022-06-01T00:00:00Z",7.27083333333334,197.5625,0.16513628
2022-06-16,7.3,197.82,28.118749777476,28.1,64.3333333333333,4314,"2022-07-01T00:00:00Z",7.3125,197.8125,0.13942963
2022-06-17,7.2625,197.88125,28.006249666214,28.1,40.5,4314,"2022-07-01T00:00:00Z",7.27083333333334,197.895833333333,0.15477546
2022-06-18,7.17916666666667,197.9875,27.9087498188019,28.1,100.25,3971,"2022-07-01T00:00:00Z",7.1875,197.979166666667,0.15181227
2022-06-19,7.165,198.09,27.9212489128113,28,75,3971,"2022-07-01T00:00:00Z",7.14583333333334,198.104166666667,0.16411737
2022-06-20,7.05,197.9875,NA,NA,NA,NA,"2022-07-01T00:00:00Z",7.0625,197.979166666667,0.14666459
2022-06-21,6.8125,197.7125,28.1349992752075,28.1,85.3333333333333,4308,"2022-07-01T00:00:00Z",6.8125,197.729166666667,0.15926176
2022-06-22,6.84,197.835,28.1366659800212,28,85.3333333333333,3456,"2022-07-01T00:00:00Z",6.85416666666667,197.854166666667,0.16595866
2022-06-23,7.06,197.825,28.0299992700197,27.9,64,4032,"2022-07-01T00:00:00Z",7.0625,197.8125,0.13762155
2022-06-24,7.21,197.92,28.0391675785736,28.2,96,4111.66666666667,"2022-07-01T00:00:00Z",7.22916666666667,197.9375,0.14958492
2022-06-25,7.29,198.32,28.1299989292798,28.1,64,4123,"2022-07-01T00:00:00Z",7.27083333333334,198.3125,0.16034728
2022-06-26,7.505,198.71,28.0658309011768,28.4,74.6666666666667,4672,"2022-07-01T00:00:00Z",7.52083333333334,198.729166666667,0.136301
2022-06-27,7.985,198.73,27.9233317652676,28.3,64,5030.33333333333,"2022-07-01T00:00:00Z",7.97916666666667,198.729166666667,0.12277104
2022-06-28,8.505,198.75,27.7174985755814,28.3,85.3333333333333,4994,"2022-07-01T00:00:00Z",8.52083333333334,198.770833333333,0.09928608
2022-06-29,9.105,198.96,27.5620827829396,28.1,64.3333333333333,5192,"2022-07-01T00:00:00Z",9.10416666666667,198.979166666667,0.08926357
2022-06-30,9.825,199.0875,27.6308327446602,28.1,72,5274,"2022-07-01T00:00:00Z",9.8125,199.104166666667,0.06947858
2022-07-01,10.2958333333333,199.125,27.5950003550229,27.9,116,5329,"2022-07-01T00:00:00Z",10.3125,199.145833333333,0.089275904
2022-07-02,10.755,199.505,27.649999590781,27.9,64.3333333333333,5486,"2022-07-01T00:00:00Z",10.7708333333333,199.520833333333,0.0719146
2022-07-03,10.765,199.265,27.6950011631957,27.8,96.3333333333333,5468.66666666667,"2022-07-01T00:00:00Z",10.7708333333333,199.270833333333,0.080213994
2022-07-04,10.935,199.475,27.7774984905896,27.9,107,5530,"2022-07-01T00:00:00Z",10.9375,199.479166666667,0.09123971
2022-07-05,11.055,199.835,27.6079135133381,27.8,96.3333333333333,5639,"2022-07-01T00:00:00Z",11.0625,199.854166666667,0.07843618
2022-07-06,10.925,199.86,27.5483321695637,27.9,85.6666666666667,5509.66666666667,"2022-07-01T00:00:00Z",10.9375,199.854166666667,0.074177325
