"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"1",197.875,5.875,197.775,197.975,5.775,197.975,0.35036845298277
"2",198,5.885,197.9,198.1,5.785,198.1,0.339793540123436
"3",197.95,5.925,197.85,198.05,5.825,198.05,0.349184767239624
"4",197.855,5.925,197.755,197.955,5.825,197.955,0.366547269622485
"5",197.8125,5.98125,197.7125,197.9125,5.88125,197.9125,0.275830552577972
"6",197.74,6.11,197.64,197.84,6.01,197.84,0.240089923971229
"7",197.66,6.275,197.56,197.76,6.175,197.76,0.246091063817342
"8",197.465,6.45,197.365,197.565,6.35,197.565,0.237577212353547
"9",197.345,6.51,197.245,197.445,6.41,197.445,0.228601081089841
"10",197.47,6.775,197.37,197.57,6.675,197.57,0.22201491445303
"11",197.61875,7.075,197.51875,197.71875,6.975,197.71875,0.181269831955433
"12",197.583333333333,7.27083333333333,197.483333333333,197.683333333333,7.17083333333333,197.683333333333,0.176287866632144
"13",197.555,7.365,197.455,197.655,7.265,197.655,0.179737663931317
"14",197.585,7.41,197.485,197.685,7.31,197.685,0.181079345030917
"15",197.375,7.28,197.275,197.475,7.18,197.475,0.178540794385804
"16",197.565,7.285,197.465,197.665,7.185,197.665,0.171705164511998
"17",197.82,7.3,197.72,197.92,7.2,197.92,0.192915579924981
"18",197.88125,7.2625,197.78125,197.98125,7.1625,197.98125,0.152037582463688
"19",197.9875,7.17916666666667,197.8875,198.0875,7.07916666666667,198.0875,0.153010314123498
"20",198.09,7.165,197.99,198.19,7.065,198.19,0.154872522172001
"21",197.9875,7.05,197.8875,198.0875,6.95,198.0875,0.152339692744944
"22",197.7125,6.8125,197.6125,197.8125,6.7125,197.8125,0.164680142203967
"23",197.835,6.84,197.735,197.935,6.74,197.935,0.162444902376996
"24",197.825,7.06,197.725,197.925,6.96,197.925,0.14975500802199
"25",197.92,7.21,197.82,198.02,7.11,198.02,0.152710671226184
"26",198.32,7.29,198.22,198.42,7.19,198.42,0.152148246351216
"27",198.71,7.505,198.61,198.81,7.405,198.81,0.134167939424515
"28",198.73,7.985,198.63,198.83,7.885,198.83,0.130567415555318
"29",198.75,8.505,198.65,198.85,8.405,198.85,0.104859612675177
"30",198.96,9.105,198.86,199.06,9.005,199.06,0.0888634286820889
"31",199.0875,9.825,198.9875,199.1875,9.725,199.1875,0.0757919305728541
"32",199.125,10.2958333333333,199.025,199.225,10.1958333333333,199.225,0.0868945593635241
"33",199.505,10.755,199.405,199.605,10.655,199.605,0.0783695489582088
