"; PTT 233568, Serial 21P2114, Run 5 - 0.25&deg; Grid Size @ 20-Dec-2022 19:11"
"; Marine @ 3.0 meters/second, Model Score 43.17"
"; 3 Status Clock Corrections, 323 Twilights, 162 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
THUALB_2022_04,233568,31-May-2022 19:00:00,5.875,-162.125,User,,,,,,68.6058533395096,,
THUALB_2022_04,233568,01-Jun-2022 00:00:00,5.875,-162.1,None,,,,,,,01-Jun-2022 16:33:04,02-Jun-2022 04:59:36
THUALB_2022_04,233568,01-Jun-2022 04:56:15,5.85,-161.975,Light - Dusk,,,144,2908,,43.1674695816558,,
THUALB_2022_04,233568,01-Jun-2022 12:00:00,5.9,-161.975,None,,,,,,,,
THUALB_2022_04,233568,01-Jun-2022 13:00:00,5.9,-161.975,SST,28.2,28.3245831330617,1,2908,,76.6299529416215,,
THUALB_2022_04,233568,01-Jun-2022 15:57:30,5.9,-161.975,Light - Dawn,,,112,2908,,54.9225280444088,,
THUALB_2022_04,233568,02-Jun-2022 00:00:00,5.925,-162,None,,,,,,,02-Jun-2022 16:32:41,03-Jun-2022 04:59:30
THUALB_2022_04,233568,02-Jun-2022 04:31:15,5.925,-162.025,Light - Dusk,,,112,3778,,93.8361538164091,,
THUALB_2022_04,233568,02-Jun-2022 11:00:00,5.925,-162.075,SST,28.3,28.3054160277049,2,3778,,91.8888561749053,,
THUALB_2022_04,233568,02-Jun-2022 12:00:00,5.925,-162.075,None,,,,,,,,
THUALB_2022_04,233568,02-Jun-2022 15:51:15,5.925,-162.075,Light - Dawn,,,80,3778,,94.6136564760469,,
THUALB_2022_04,233568,03-Jun-2022 00:00:00,5.925,-162.125,None,,,,,,,03-Jun-2022 16:33:17,04-Jun-2022 05:00:14
THUALB_2022_04,233568,03-Jun-2022 04:42:30,5.925,-162.125,Light - Dusk,,,80,3778,,74.7317677701055,,
THUALB_2022_04,233568,03-Jun-2022 12:00:00,5.925,-162.15,None,,,,,,,,
THUALB_2022_04,233568,03-Jun-2022 13:00:00,5.925,-162.15,SST,28.1,28.3108328183492,1,3778,,63.7715622884864,,
THUALB_2022_04,233568,03-Jun-2022 16:00:00,5.925,-162.175,Light - Dawn,,,80,3778,,75.9512841296688,,
THUALB_2022_04,233568,04-Jun-2022 00:00:00,5.95,-162.175,None,,,,,,,04-Jun-2022 16:33:33,05-Jun-2022 05:00:43
THUALB_2022_04,233568,04-Jun-2022 04:32:30,5.975,-162.175,Light - Dusk,,,48,3778,,80.0813331733754,,
THUALB_2022_04,233568,04-Jun-2022 12:00:00,6,-162.2,SST,28.2,28.3199996948242,1,3778,,75.1404136885996,,
THUALB_2022_04,233568,04-Jun-2022 15:56:15,6,-162.2,Light - Dawn,,,80,3778,,93.6661562904695,,
THUALB_2022_04,233568,05-Jun-2022 00:00:00,6.05,-162.225,None,,,,,,,05-Jun-2022 16:33:42,06-Jun-2022 05:01:19
THUALB_2022_04,233568,05-Jun-2022 04:50:00,6.075,-162.25,Light - Dusk,,,80,4150,,86.7670000638148,,
THUALB_2022_04,233568,05-Jun-2022 12:00:00,6.125,-162.275,None,,,,,,,,
THUALB_2022_04,233568,05-Jun-2022 15:00:00,6.15,-162.275,SST,28.1,28.3599987030029,1,4150,,60.3315197483031,,
THUALB_2022_04,233568,05-Jun-2022 15:52:30,6.15,-162.275,Light - Dawn,,,48,4150,,70.3277371150884,,
THUALB_2022_04,233568,06-Jun-2022 00:00:00,6.2,-162.3,None,,,,,,,06-Jun-2022 16:33:52,07-Jun-2022 05:02:06
THUALB_2022_04,233568,06-Jun-2022 04:42:30,6.225,-162.3,Light - Dusk,,,48,4150,,68.0308466080319,,
THUALB_2022_04,233568,06-Jun-2022 12:00:00,6.3,-162.35,None,,,,,,,,
THUALB_2022_04,233568,06-Jun-2022 14:00:00,6.325,-162.375,SST,28.2,28.3333322207133,1,3964,,74.3121208125351,,
THUALB_2022_04,233568,06-Jun-2022 15:56:15,6.325,-162.375,Light - Dawn,,,48,3964,,91.7894186401842,,
THUALB_2022_04,233568,07-Jun-2022 00:00:00,6.4,-162.475,None,,,,,,,07-Jun-2022 16:34:22,08-Jun-2022 05:03:23
THUALB_2022_04,233568,07-Jun-2022 04:13:45,6.425,-162.525,Light - Dusk,,,112,3778,,64.499536499636,,
THUALB_2022_04,233568,07-Jun-2022 12:00:00,6.475,-162.55,None,,,,,,,,
THUALB_2022_04,233568,07-Jun-2022 13:00:00,6.475,-162.55,SST,28.3,28.321248849233,1,3778,,92.1211816795302,,
THUALB_2022_04,233568,07-Jun-2022 16:00:00,6.475,-162.575,Light - Dawn,,,112,3778,,89.7737250453903,,
THUALB_2022_04,233568,08-Jun-2022 00:00:00,6.475,-162.6,None,,,,,,,08-Jun-2022 16:34:53,09-Jun-2022 05:04:16
THUALB_2022_04,233568,08-Jun-2022 04:47:30,6.475,-162.625,Light - Dusk,,,112,3778,,48.6471090385748,,
THUALB_2022_04,233568,08-Jun-2022 11:00:00,6.525,-162.675,SST,28.3,28.2125000158946,1,4503,,96.5036342614288,,
THUALB_2022_04,233568,08-Jun-2022 12:00:00,6.525,-162.675,None,,,,,,,,
THUALB_2022_04,233568,08-Jun-2022 16:05:00,6.55,-162.7,Light - Dawn,,,48,4503,,43.4821531095748,,
THUALB_2022_04,233568,09-Jun-2022 00:00:00,6.65,-162.625,None,,,,,,,09-Jun-2022 16:34:49,10-Jun-2022 05:04:54
THUALB_2022_04,233568,09-Jun-2022 05:06:15,6.725,-162.575,Light - Dusk,,,48,4503,,93.686677834211,,
THUALB_2022_04,233568,09-Jun-2022 09:00:00,6.8,-162.525,SST,28.4,28.2074995040894,1,4429,,91.9097488764923,,
THUALB_2022_04,233568,09-Jun-2022 12:00:00,6.825,-162.5,None,,,,,,,,
THUALB_2022_04,233568,09-Jun-2022 16:01:15,6.875,-162.425,Light - Dawn,,,112,4308,,14.9554658574652,,
THUALB_2022_04,233568,10-Jun-2022 00:00:00,6.95,-162.425,None,,,,,,,10-Jun-2022 16:33:39,11-Jun-2022 05:04:52
THUALB_2022_04,233568,10-Jun-2022 09:00:00,7.1,-162.375,SST,28.3,28.2612495422363,1,3977,,94.9221602082061,,
THUALB_2022_04,233568,10-Jun-2022 12:00:00,7.1,-162.375,None,,,,,,,,
THUALB_2022_04,233568,10-Jun-2022 16:12:30,7.15,-162.35,Light - Dawn,,,80,3977,,30.6684847296737,,
THUALB_2022_04,233568,11-Jun-2022 00:00:00,7.2,-162.375,None,,,,,,,11-Jun-2022 16:33:11,12-Jun-2022 05:05:21
THUALB_2022_04,233568,11-Jun-2022 05:03:45,7.275,-162.425,Light - Dusk,,,144,4373,,33.8845304785549,,
THUALB_2022_04,233568,11-Jun-2022 05:05:00,7.275,-162.425,Light - Dusk,,,112,4373,,77.5060522697746,,
