"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"1",197.875,5.875,197.775,197.975,5.775,197.975,0.35036845298277
"2",197.9,5.875,197.8,198,5.775,198,0.373078449567159
"3",198.025,5.85,197.925,198.125,5.75,198.125,0.32689869205157
"4",198.025,5.9,197.925,198.125,5.8,198.125,0.350780776143074
"5",198.025,5.9,197.925,198.125,5.8,198.125,0.350780776143074
"6",198.025,5.9,197.925,198.125,5.8,198.125,0.350780776143074
"7",198,5.925,197.9,198.1,5.825,198.1,0.341222761405839
"8",197.975,5.925,197.875,198.075,5.825,198.075,0.349184767239624
"9",197.925,5.925,197.825,198.025,5.825,198.025,0.348745141592291
"10",197.925,5.925,197.825,198.025,5.825,198.025,0.348745141592291
"11",197.925,5.925,197.825,198.025,5.825,198.025,0.348745141592291
"12",197.875,5.925,197.775,197.975,5.825,197.975,0.35082909795973
"13",197.875,5.925,197.775,197.975,5.825,197.975,0.35082909795973
"14",197.85,5.925,197.75,197.95,5.825,197.95,0.347587124754985
"15",197.85,5.925,197.75,197.95,5.825,197.95,0.347587124754985
"16",197.825,5.925,197.725,197.925,5.825,197.925,0.347587124754985
"17",197.825,5.95,197.725,197.925,5.85,197.925,0.346362168590228
"18",197.825,5.975,197.725,197.925,5.875,197.925,0.346362168590228
"19",197.8,6,197.7,197.9,5.9,197.9,0.26304425050815
"20",197.8,6,197.7,197.9,5.9,197.9,0.26304425050815
"21",197.775,6.05,197.675,197.875,5.95,197.875,0.231324508289496
"22",197.75,6.075,197.65,197.85,5.975,197.85,0.235413276900848
"23",197.725,6.125,197.625,197.825,6.025,197.825,0.241572155720658
"24",197.725,6.15,197.625,197.825,6.05,197.825,0.244606510798136
"25",197.725,6.15,197.625,197.825,6.05,197.825,0.244606510798136
"26",197.7,6.2,197.6,197.8,6.1,197.8,0.246479514986277
"27",197.7,6.225,197.6,197.8,6.125,197.8,0.246479514986277
"28",197.65,6.3,197.55,197.75,6.2,197.75,0.282512407004833
"29",197.625,6.325,197.525,197.725,6.225,197.725,0.291452504694462
"30",197.625,6.325,197.525,197.725,6.225,197.725,0.291452504694462
"31",197.525,6.4,197.425,197.625,6.3,197.625,0.252083576321602
"32",197.475,6.425,197.375,197.575,6.325,197.575,0.237810922165712
"33",197.45,6.475,197.35,197.55,6.375,197.55,0.237577212353547
"34",197.45,6.475,197.35,197.55,6.375,197.55,0.237577212353547
"35",197.425,6.475,197.325,197.525,6.375,197.525,0.229483008384705
"36",197.4,6.475,197.3,197.5,6.375,197.5,0.228234603007634
"37",197.375,6.475,197.275,197.475,6.375,197.475,0.228532989405923
"38",197.325,6.525,197.225,197.425,6.425,197.425,0.229809666673342
"39",197.325,6.525,197.225,197.425,6.425,197.425,0.229809666673342
"40",197.3,6.55,197.2,197.4,6.45,197.4,0.231072324017684
"41",197.375,6.65,197.275,197.475,6.55,197.475,0.234006255368392
"42",197.425,6.725,197.325,197.525,6.625,197.525,0.228406090703275
"43",197.475,6.8,197.375,197.575,6.7,197.575,0.216257309334146
"44",197.5,6.825,197.4,197.6,6.725,197.6,0.206336739162604
"45",197.575,6.875,197.475,197.675,6.775,197.675,0.206067189988163
"46",197.575,6.95,197.475,197.675,6.85,197.675,0.191622823890713
"47",197.625,7.1,197.525,197.725,7,197.725,0.181269831955433
"48",197.625,7.1,197.525,197.725,7,197.725,0.181269831955433
"49",197.65,7.15,197.55,197.75,7.05,197.75,0.180131811499596
"50",197.625,7.2,197.525,197.725,7.1,197.725,0.178279881262117
"51",197.575,7.275,197.475,197.675,7.175,197.675,0.176287866632144
"52",197.575,7.275,197.475,197.675,7.175,197.675,0.176287866632144
"53",197.575,7.275,197.475,197.675,7.175,197.675,0.176287866632144
"54",197.575,7.3,197.475,197.675,7.2,197.675,0.176207090831465
"55",197.575,7.3,197.475,197.675,7.2,197.675,0.176207090831465
"56",197.575,7.325,197.475,197.675,7.225,197.675,0.180363723387321
"57",197.55,7.35,197.45,197.65,7.25,197.65,0.17745045448343
"58",197.55,7.375,197.45,197.65,7.275,197.65,0.179737663931317
"59",197.55,7.4,197.45,197.65,7.3,197.65,0.181741888821125
"60",197.55,7.375,197.45,197.65,7.275,197.65,0.179737663931317
"61",197.575,7.375,197.475,197.675,7.275,197.675,0.181086707860231
"62",197.575,7.4,197.475,197.675,7.3,197.675,0.182549262046814
"63",197.575,7.425,197.475,197.675,7.325,197.675,0.181079345030917
"64",197.6,7.425,197.5,197.7,7.325,197.7,0.181079345030917
"65",197.6,7.425,197.5,197.7,7.325,197.7,0.181079345030917
"66",197.475,7.375,197.375,197.575,7.275,197.575,0.181478447384304
"67",197.4,7.325,197.3,197.5,7.225,197.5,0.183174795409044
"68",197.35,7.25,197.25,197.45,7.15,197.45,0.176051504909992
"69",197.325,7.225,197.225,197.425,7.125,197.425,0.173853282299307
"70",197.325,7.225,197.225,197.425,7.125,197.425,0.173853282299307
"71",197.425,7.25,197.325,197.525,7.15,197.525,0.17421882144279
"72",197.5,7.275,197.4,197.6,7.175,197.6,0.169570770859718
"73",197.6,7.3,197.5,197.7,7.2,197.7,0.176207090831465
"74",197.625,7.3,197.525,197.725,7.2,197.725,0.180164164967007
"75",197.675,7.3,197.575,197.775,7.2,197.775,0.183563756859965
"76",197.775,7.3,197.675,197.875,7.2,197.875,0.193107016384602
"77",197.825,7.3,197.725,197.925,7.2,197.925,0.192915579924981
"78",197.825,7.3,197.725,197.925,7.2,197.925,0.192915579924981
"79",197.825,7.3,197.725,197.925,7.2,197.925,0.192915579924981
"80",197.85,7.3,197.75,197.95,7.2,197.95,0.192915579924981
"81",197.875,7.275,197.775,197.975,7.175,197.975,0.151698773602645
"82",197.875,7.275,197.775,197.975,7.175,197.975,0.151698773602645
"83",197.875,7.25,197.775,197.975,7.15,197.975,0.152037582463688
"84",197.9,7.25,197.8,198,7.15,198,0.152553836007913
"85",197.95,7.2,197.85,198.05,7.1,198.05,0.153568226430151
"86",198,7.15,197.9,198.1,7.05,198.1,0.152837885916233
"87",198,7.15,197.9,198.1,7.05,198.1,0.152837885916233
"88",198,7.175,197.9,198.1,7.075,198.1,0.153010314123498
"89",197.975,7.2,197.875,198.075,7.1,198.075,0.153568226430151
"90",198,7.2,197.9,198.1,7.1,198.1,0.154755594001876
"91",198.025,7.2,197.925,198.125,7.1,198.125,0.155249954263369
"92",198.075,7.175,197.975,198.175,7.075,198.175,0.154872522172001
"93",198.1,7.15,198,198.2,7.05,198.2,0.155218834678332
"94",198.125,7.15,198.025,198.225,7.05,198.225,0.156715994079908
"95",198.125,7.15,198.025,198.225,7.05,198.225,0.156715994079908
"96",198.05,7.1,197.95,198.15,7,198.15,0.15380621701479
"97",197.925,7,197.825,198.025,6.9,198.025,0.151808266010549
"98",197.8,6.875,197.7,197.9,6.775,197.9,0.16076861653063
"99",197.75,6.85,197.65,197.85,6.75,197.85,0.163466441134612
"100",197.675,6.775,197.575,197.775,6.675,197.775,0.167992296318213
"101",197.625,6.75,197.525,197.725,6.65,197.725,0.17082092911005
"102",197.775,6.75,197.675,197.875,6.65,197.875,0.166143025954564
"103",197.85,6.8,197.75,197.95,6.7,197.95,0.163673022968902
"104",197.85,6.875,197.75,197.95,6.775,197.95,0.16025959700346
"105",197.85,6.875,197.75,197.95,6.775,197.95,0.16025959700346
"106",197.85,6.9,197.75,197.95,6.8,197.95,0.159828160703182
"107",197.825,6.95,197.725,197.925,6.85,197.925,0.154696577539047
"108",197.825,7.025,197.725,197.925,6.925,197.925,0.151089372237523
"109",197.825,7.1,197.725,197.925,7,197.925,0.150453127506706
"110",197.825,7.1,197.725,197.925,7,197.925,0.150453127506706
"111",197.825,7.125,197.725,197.925,7.025,197.925,0.150459960930877
"112",197.85,7.15,197.75,197.95,7.05,197.95,0.151035127540429
"113",197.85,7.2,197.75,197.95,7.1,197.95,0.151592446698083
"114",197.925,7.225,197.825,198.025,7.125,198.025,0.152710671226184
"115",197.95,7.225,197.85,198.05,7.125,198.05,0.153568226430151
"116",198.025,7.25,197.925,198.125,7.15,198.125,0.156255523860455
"117",198.15,7.275,198.05,198.25,7.175,198.25,0.154020513296127
"118",198.275,7.275,198.175,198.375,7.175,198.375,0.152939145565033
"119",198.375,7.275,198.275,198.475,7.175,198.475,0.151083482305209
"120",198.375,7.275,198.275,198.475,7.175,198.475,0.151083482305209
"121",198.425,7.35,198.325,198.525,7.25,198.525,0.148926628546582
"122",198.6,7.4,198.5,198.7,7.3,198.7,0.138768576830626
"123",198.775,7.4,198.675,198.875,7.3,198.875,0.133949726223946
"124",198.725,7.55,198.625,198.825,7.45,198.825,0.134387938926617
"125",198.725,7.55,198.625,198.825,7.45,198.825,0.134387938926617
"126",198.725,7.625,198.625,198.825,7.525,198.825,0.134599798462457
"127",198.75,7.775,198.65,198.85,7.675,198.85,0.129476060221593
"128",198.75,7.875,198.65,198.85,7.775,198.85,0.12836247537699
"129",198.725,8.05,198.625,198.825,7.95,198.825,0.129980377438996
"130",198.7,8.1,198.6,198.8,8,198.8,0.130145073971815
"131",198.725,8.125,198.625,198.825,8.025,198.825,0.130423722995652
"132",198.75,8.3,198.65,198.85,8.2,198.85,0.12767665170961
"133",198.775,8.4,198.675,198.875,8.3,198.875,0.117329639792442
"134",198.775,8.55,198.675,198.875,8.45,198.875,0.10072548687458
"135",198.725,8.625,198.625,198.825,8.525,198.825,0.0989809332208501
"136",198.725,8.65,198.625,198.825,8.55,198.825,0.0978301450610161
"137",198.875,8.85,198.775,198.975,8.75,198.975,0.0860577293982108
